country_name,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Finland,2023,7.698929309844971,10.808450698852539,0.946864664554596,71.30000305175781,0.9434178471565247,-0.0011296799639239907,0.18522943556308746,0.7167778015136719,0.17283032834529877
France,2023,6.556921482086182,10.741768836975098,0.8495709300041199,72.5,0.7755240797996521,0.00954272411763668,0.5577877759933472,0.675797164440155,0.22800129652023315
Gabon,2023,5.104125022888184,9.5536956787109375,0.7345706224441528,58.900001525878906,0.7223499417304993,-0.15961727499961853,0.821529746055603,0.6196807622909546,0.4236416816711426
Gambia,2023,4.690763473510742,7.686476707458496,0.651343822479248,58.20000076293945,0.7265484929084778,0.4301712214946747,0.8522723913192749,0.7192456722259521,0.29090455174446106
Georgia,2023,5.350635051727295,9.78503704071045,0.7790393829345703,65.19999694824219,0.876941442489624,-0.2682105004787445,0.7058841586112976,0.5417845249176025,0.2310466766357422
Germany,2023,6.792490482330322,10.877864837646484,0.8948324918746948,71.69999694824219,0.8447375297546387,0.106207937002182,0.46018335223197937,0.7063045501708984,0.23123596608638763
Ghana,2023,4.2984514236450195,8.609566688537598,0.6614665985107422,59.5,0.834113597869873,0.09315290302038193,0.892141580581665,0.6377432346343994,0.25389453768730164
Greece,2023,5.79606294631958,10.386622428894043,0.8184308409690857,71.4000015258789,0.5891226530075073,-0.22280369699001312,0.8053824305534363,0.6079389452934265,0.31131336092948914
Guatemala,2023,6.42129373550415,9.14017105102539,0.7961934804916382,63.099998474121094,0.8730798363685608,-0.049050260335206985,0.8120350241661072,0.8431468605995178,0.3026299774646759
Guinea,2023,4.827179908752441,7.931992053985596,0.576948881149292,55.099998474121094,0.7431830763816833,0.1867412030696869,0.7905811071395874,0.6519498229026794,0.5155653953552246
Honduras,2023,5.860568046569824,8.669590950012207,0.7312758564949036,64.69999694824219,0.8781616687774658,0.07859720289707184,0.783737063407898,0.7671729922294617,0.2853439450263977
Hungary,2023,5.9651780128479,10.472707748413086,0.9542263746261597,67.80000305175781,0.7547153234481812,-0.0021450684871524572,0.8474809527397156,0.6730110049247742,0.18858890235424042
Iceland,2023,7.561609268188477,10.93416690826416,0.9787889122962952,72.0999984741211,0.9183768033981323,0.2991569936275482,0.6974747180938721,0.7930626273155212,0.18502050638198853
India,2023,4.676008701324463,8.91947078704834,0.6328966021537781,61.5,0.8996010422706604,0.1208869218826294,0.769851803779602,0.6987650990486145,0.38852569460868835
Indonesia,2023,5.694869518280029,9.465581893920898,0.7805444598197937,63.29999923706055,0.9004279375076294,0.5895543694496155,0.8662374019622803,0.813895046710968,0.28947216272354126
Iran,2023,5.0042805671691895,9.650888442993164,0.8094788789749146,66.9000015258789,0.6154001355171204,0.2536029815673828,0.7642531394958496,0.5333526134490967,0.4246327579021454
Iraq,2023,5.475371837615967,9.093181610107422,0.7341683506965637,64.5999984741211,0.6584085822105408,-0.017449110746383667,0.8510727882385254,0.5865992903709412,0.46866533160209656
Ireland,2023,6.816531181335449,11.67558765411377,0.921253502368927,71.5,0.9027664065361023,0.18217788636684418,0.37331709265708923,0.741769552230835,0.24530018866062164
Israel,2023,6.783402442932129,10.707268714904785,0.9518911838531494,73,0.797024130821228,0.14618368446826935,0.6355089545249939,0.48427581787109375,0.5159156918525696
Italy,2023,6.24511194229126,10.702875137329102,0.8510008454322815,72.19999694824219,0.6985619068145752,-0.05253612622618675,0.8190128803253174,0.6359078288078308,0.2934224307537079
Ivory Coast,2023,5.336585521697998,8.655770301818848,0.6227868795394897,57.099998474121094,0.7531749606132507,-0.05745329335331917,0.6759107112884521,0.6695907711982727,0.3065430819988251
Japan,2023,5.910115718841553,10.653786659240723,0.8422733545303345,74.5999984741211,0.7769917845726013,-0.22199265658855438,0.5936000943183899,0.6376104354858398,0.17795486748218536
Jordan,2023,4.2920331954956055,9.151368141174316,0.7207711935043335,67.5999984741211,0.7544203996658325,-0.14336594939231873,0.6512880325317383,0.5183835625648499,0.4417031705379486
Kazakhstan,2023,6.299432754516602,10.171749114990234,0.9290642738342285,66.5999984741211,0.9007052779197693,0.04950810223817825,0.8120614886283875,0.6262810230255127,0.11380243301391602
Kenya,2023,4.49622917175293,8.523473739624023,0.702744722366333,59.29999923706055,0.735895037651062,0.3162458539009094,0.7997993230819702,0.7556939125061035,0.24463818967342377
Kosovo,2023,6.877792835235596,9.480271339416504,0.807212769985199,NA,0.899681031703949,0.2851782441139221,0.8109320402145386,0.6821652054786682,0.13978056609630585
Kuwait,2023,7.130284309387207,10.811559677124023,0.890011191368103,70,0.897539496421814,0.13604094088077545,NA,0.7294350862503052,0.2069776952266693
Kyrgyzstan,2023,5.909509181976318,8.57337474822998,0.9460276365280151,67.9000015258789,0.9432868361473083,0.14508497714996338,0.8990190029144287,0.6814092397689819,0.16538839042186737
Laos,2023,5.486371994018555,9.0052642822265625,0.6783856749534607,61.70000076293945,0.9041768312454224,0.09937172383069992,0.7238489985466003,0.6792017817497253,0.3350663185119629
Latvia,2023,6.295644760131836,10.407550811767578,0.9319729804992676,66.5999984741211,0.8155224919319153,0.058893803507089615,0.7998623251914978,0.6712015271186829,0.25669288635253906
Lebanon,2023,3.5879082679748535,9.471325874328613,0.6856455206871033,66.30000305175781,0.4992057979106903,-0.10233531147241592,0.8954193592071533,0.3731265664100647,0.3852948248386383
